rank,alpha,trainable_parameters,trainable_percentage,best_val_accuracy,training_time_sec
1,2,610562,0.9116479335196779,0.8509174311926605,115.80251836776733
2,4,628994,0.9389108894013026,0.8486238532110092,117.16567635536194
4,8,665858,0.9933918194909175,0.8727064220183486,117.41403222084045
8,16,739586,1.10217409893699,0.8692660550458715,116.9452736377716
16,32,887042,1.3190230912089385,0.8738532110091743,116.90461492538452
