Method,Trainable Parameters,Trainable Percentage,Best Validation Accuracy,Training Time (sec),Checkpoint Size (MB),Inference Latency (ms/batch)
LoRA,739586,1.10217409893699,0.8853211009174312,180.7761745452881,2.830904960632324,103.91508705999968
Full Fine-Tuning,66955010,100.0,0.8784403669724771,249.243257522583,255.45441150665283,104.31739443999959
Merged LoRA,739586,1.10217409893699,0.8853211009174312,180.7761745452881,2.830904960632324,100.4526174800003
